N,P,K,temperature,humidity,ph,rainfall,label
86,46,36,21.414577029593445,86.59351869449074,6.829577613974264,249.74751498773816,rice
68,50,39,24.717878378649786,86.23033835159876,7.017351278373046,279.2437483391979,rice
82,57,41,25.00066635645145,84.62735115166514,5.531761043672544,241.74616018861354,rice
69,49,35,25.523324978054617,82.61687799270518,6.890714598271367,226.82896262796865,rice
99,41,44,25.469709739328845,83.9125281517758,7.0638961117957315,256.6067224724056,rice
64,59,43,23.039974778058518,83.74375270086004,6.247106617802784,234.030586426083,rice
91,40,43,21.744011145599387,88.94279293678524,5.530510841963957,276.65984983817475,rice
74,55,43,26.47101821328105,82.86175600333202,7.004333287642885,290.08439066797905,rice
72,52,39,26.538234064031034,87.54786697546726,7.0177396252055555,224.53599226414818,rice
63,58,44,22.112147166516245,86.23243202329094,6.609384361279173,226.40846009197188,rice
95,35,44,24.443844379707272,87.70932499614774,5.713038019029532,226.64997682710967,rice
81,51,40,25.11760128934228,81.9037226741884,5.645570772435404,273.70595620229506,rice
91,35,40,21.08136526934508,80.55409785350903,7.1309799712636615,238.87971198691014,rice
73,44,43,21.403287838564495,87.80101899722025,6.113375107653694,298.90223653553335,rice
90,50,36,26.109258114107362,88.08598483620565,5.863822543646579,271.9772744914658,rice
83,53,40,24.307889835390267,81.35744937470012,6.082480420296849,229.87010216946976,rice
64,42,41,20.728496464450128,85.86125567385034,6.882990266803335,208.26236473287548,rice
94,41,40,20.363902604248636,85.07227032114608,6.0737563211968055,210.25685463650586,rice
93,48,39,22.030636455875694,87.23741773582957,7.027679810833513,292.50050821107936,rice
85,45,43,26.930314545864043,88.96826007108979,6.942224062741884,274.0668745717036,rice
63,44,35,25.49329487547743,88.94350198069448,6.607759156786978,261.8354822646641,rice
78,59,43,21.754710882808887,86.2515092304402,5.6423254571265335,210.77322464267777,rice
74,38,39,26.02201166116665,82.0866691559456,6.454566647622579,289.12224468860336,rice
76,50,43,26.501818103070107,83.70906545604124,6.012413239171156,237.46270028164005,rice
90,50,43,26.404905977637213,81.57236619491502,6.766213584478987,208.5283775304629,rice
68,50,36,23.563660947029582,88.0623328325706,6.3078129648704655,201.27834645833045,rice
98,43,37,21.992345162512503,89.43826566431504,6.052123086899778,249.55224117132516,rice
86,42,40,23.007766588441896,88.34497325523674,5.864786087319528,294.6531780075052,rice
91,40,38,25.014060110955867,86.16155446069223,6.954680318194119,250.12363023218307,rice
77,58,37,25.292207808516288,88.15372788372979,5.958988422113044,288.36983938680976,rice
74,39,35,21.23464760999815,81.7785032345399,6.744941829679811,241.66188402178304,rice
68,43,41,23.223167244074528,80.48120649356648,5.666496172981009,295.785937110881,rice
65,46,38,22.20271953140544,81.5604454058345,6.364021496814885,255.01950393963398,rice
82,37,36,23.506230591652216,88.56600585754681,6.586508976032055,254.86980756152465,rice
79,40,44,25.56210556989963,88.86339513822685,6.917023855340928,269.2303820792159,rice
99,35,39,25.80103466169296,80.15281681138761,6.157544689152979,296.3147665851336,rice
62,44,37,26.090758711595956,89.6547297019366,5.71929233605655,261.79970510925466,rice
71,57,39,26.63498895802866,80.50915765007905,6.495889386655021,252.42537380036848,rice
77,37,39,22.69699743250311,82.47080283402047,6.625963492824404,231.40960183321494,rice
77,55,42,20.17041058910026,85.76244456046042,6.151014814366712,233.24528398424854,rice
78,55,36,24.4021619205418,88.73149054815045,6.511004141160471,285.1295267929057,rice
85,51,40,24.722095097281105,85.67464416691294,5.863363317220087,210.95646352826535,rice
90,54,36,22.122027644592286,87.96595843898065,5.779045493334403,254.10132204597278,rice
92,50,43,20.66107983923601,85.18663900005534,6.8193274574774785,231.63049585124782,rice
66,58,39,25.2818623224035,80.79069750871835,5.6523487122565355,279.4922153519557,rice
79,53,43,21.505288056671265,80.42847955451145,6.480234470273426,280.9282838678205,rice
67,44,42,26.327065413134434,86.86787326929176,6.787829016393685,233.3484890299116,rice
62,59,35,26.612872073652078,88.3300596007045,6.178604692904133,203.0470232773164,rice
76,39,38,26.265493766736085,85.63968821511111,5.871511860293013,279.46645060871407,rice
75,59,36,21.55327149487132,83.48976336471517,5.530607762438188,274.962572884323,rice
69,52,42,20.39399492597604,87.67190765829025,6.35347106429094,259.55274376068263,rice
96,53,43,23.549754404592317,87.99813718767157,6.01899080097466,253.6705309982873,rice
88,52,38,23.43176590442583,88.46680127486479,5.771395128998915,200.45206868441605,rice
81,54,39,26.206543263500052,87.67217431024231,5.748862801029705,292.25888701035484,rice
96,38,36,23.778238368516668,87.96359237659074,5.540802987389668,288.88141478969607,rice
75,49,42,24.316270626179257,86.94522192793153,7.157478085432832,290.3971642982125,rice
82,56,44,24.187334561403222,85.60534533299322,7.128856815937567,260.6689140167116,rice
82,59,44,22.655605194029125,83.30776774108534,7.168820032516965,242.72072240726217,rice
75,49,37,26.16443783314239,87.28122096397797,6.954149035260313,296.64074862681576,rice
80,57,40,23.21525160410957,82.98514669922452,5.871607099102238,260.10225714802306,rice
90,45,42,22.204827020474823,84.648895385132,5.977698665197579,288.0079648578906,rice
88,40,43,20.63628877418566,82.35880111357949,7.097549811093472,277.2100999678323,rice
68,46,39,25.074427686789598,85.33665084073724,7.047256006015651,226.6129496142092,rice
88,41,37,20.30621559920465,88.10143244294684,6.233342504588647,221.01397564633635,rice
75,40,41,24.181809526276396,82.05329119736956,6.976262994036674,290.03505438954517,rice
62,40,37,23.308320568215557,85.26016508395631,5.678688801016023,283.5536316884824,rice
75,54,42,21.80294409315536,80.87470614429695,6.37500720504366,226.66448389859957,rice
61,39,41,25.339890550938865,88.16191723695194,5.882351424145069,237.945487322089,rice
85,42,35,24.883269700796827,86.66778168958336,6.347357449565681,203.84376040411186,rice
82,48,35,23.12124332136365,87.93143575856273,5.85149452042683,269.51375666223794,rice
72,49,42,22.539918528737044,87.41430116383751,5.767286907745849,282.54475032853804,rice
93,43,36,23.963263273440823,80.10933547161291,6.575635089374834,212.93236392592314,rice
77,44,42,21.61785774240544,84.73122078851803,6.328925578261446,248.21144179869972,rice
85,44,44,25.179111732998543,87.66126060336369,6.8190149292203355,299.61896377069536,rice
93,50,36,20.24294678586776,87.91843288704293,6.70249371547335,282.4791895696857,rice
99,36,42,22.173670005890653,89.92305212370101,6.951251661404612,277.6547226326502,rice
83,59,38,22.990512383143667,87.33387650975158,5.833832184816861,230.86186464002952,rice
87,45,37,26.55949540934006,80.16050859721928,5.839458236466587,284.189113605308,rice
73,42,41,25.911315509574216,84.14471338692154,6.992708739153658,254.37153385569755,rice
73,48,41,26.933767893214682,81.36497231329028,5.734110171455603,263.45742986737133,rice
61,46,42,22.879673335491596,89.80551570105082,5.920422012934467,204.63407630007822,rice
81,47,36,21.504092612258095,82.0669594733892,6.528195224812067,209.1654793677351,rice
67,35,37,21.90201195230645,84.88937951858584,6.217842934708153,274.0074063338864,rice
83,47,37,21.705567819326433,82.33042236330473,6.36398310430849,256.3168975885726,rice
85,40,40,22.737848709214532,80.1130110312481,6.182771987648017,276.8373591896445,rice
97,44,40,20.26198142645779,81.25605984812441,5.727197907920614,264.19070949596863,rice
81,47,35,21.136839603451946,89.86705138147062,7.014985596452258,258.15856301572603,rice
98,52,41,22.613487672219343,81.74509141946494,5.920404436294832,292.13671815128095,rice
84,44,40,23.735531308859017,83.05046226885847,5.641537623445864,294.5465218439275,rice
97,56,42,26.67523905822191,87.29734159436566,5.594469743534607,252.4283799437289,rice
80,52,42,26.46715521665714,86.37474440587967,6.746771590541144,211.4356263360169,rice
91,57,40,20.387658464982515,82.94606068573131,6.423965763228499,280.3974140419951,rice
89,39,35,25.432479492043477,87.77207830880769,5.666764682495309,230.71125679385455,rice
80,56,37,25.782883541078295,84.14330436870951,5.954550143264545,239.506356611652,rice
80,45,36,26.528121579041375,83.61815159261616,6.934605515209183,257.65914231464575,rice
83,39,36,26.652591312656664,88.2416788008501,6.330370564464829,240.9738037977499,rice
80,41,43,22.536635336599346,82.33917660377324,6.637306181594153,254.55856869975057,rice
79,47,37,20.82579408226795,84.67891207695811,5.649631006460393,289.93200566731196,rice
95,57,41,22.303589414324065,84.54159861618557,6.4906770268893395,281.46155588105364,rice
64,40,44,26.904948740687566,88.96430901124792,6.7309416204945585,276.7914062528788,rice
98,38,22,26.793143603260926,52.483606036357315,6.366715564830869,63.096693594434534,maize
93,38,19,22.38146369051644,68.01822371282768,5.62633366880852,74.75262419119461,maize
70,50,24,25.825367297088675,62.9244598954336,5.816536710660877,99.7068824891779,maize
99,41,21,24.56014601216576,59.98703085352015,6.910786154817842,86.65676667975382,maize
66,37,19,20.147466056962696,56.111481268355064,5.695523536137806,80.6310459426496,maize
86,47,17,18.154330436102384,55.79572108357461,6.771539944972442,104.1860796749902,maize
79,36,22,19.66597538757872,62.07362496933243,6.254384159063175,77.63276670124365,maize
99,42,18,26.473216770031954,65.469618877228,6.853643904571507,105.37096689940563,maize
97,54,23,20.396402968063033,52.227166137314136,5.524447749847986,71.69444505595295,maize
76,44,22,23.756731809094738,53.868271741865314,6.529588816341887,108.11289385170369,maize
92,47,22,24.432617110183152,66.64432967080486,5.577611734918072,97.49258822276809,maize
85,48,15,23.400146658683582,59.56853856390574,6.55444682503386,101.33282068633277,maize
68,35,23,23.49726936481909,69.95993695135456,5.919457147037223,77.38890386732365,maize
65,55,15,22.310292460773304,54.31073243866743,6.6833376273221985,81.55703082285203,maize
74,51,22,22.631430421334173,62.36083700104971,6.739255662582721,72.03255672547401,maize
81,50,16,21.72784840622767,63.61681120387094,6.777138474132823,102.28987565690244,maize
97,37,21,19.029894571986564,61.00547942669291,6.6152671986266665,72.36562876101439,maize
64,59,22,20.0506169878227,66.68617051167628,6.498574749599613,87.24366964372948,maize
68,50,19,24.646139798672294,51.791275794887234,5.652662577851684,108.4022611646167,maize
99,44,24,23.976735222902256,50.213816150482344,5.678492368149752,60.6323501970203,maize
